Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Strickland J.C., Lile J.A., Stoops W.W.","Unique prediction of cannabis use severity and behaviors by delay discounting and behavioral economic demand",2017,"Behavioural Processes","140",,,"33","40",,,10.1016/j.beproc.2017.03.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017393306&doi=10.1016%2fj.beproc.2017.03.017&partnerID=40&md5=3fe4a8b434975a975b60a225bfebce09","Department of Psychology, University of Kentucky College of Arts and Sciences, 171 Funkhouser Drive, Lexington, KY, United States; Department of Behavioral Science, University of Kentucky College of Medicine, 1100 Veterans Drive, Medical Behavioral Science Building Room 140, Lexington, KY, United States; Department of Psychiatry, University of Kentucky College of Medicine, 3470 Blazer Parkway, Lexington, KY, United States","Strickland, J.C., Department of Psychology, University of Kentucky College of Arts and Sciences, 171 Funkhouser Drive, Lexington, KY, United States; Lile, J.A., Department of Psychology, University of Kentucky College of Arts and Sciences, 171 Funkhouser Drive, Lexington, KY, United States, Department of Behavioral Science, University of Kentucky College of Medicine, 1100 Veterans Drive, Medical Behavioral Science Building Room 140, Lexington, KY, United States, Department of Psychiatry, University of Kentucky College of Medicine, 3470 Blazer Parkway, Lexington, KY, United States; Stoops, W.W., Department of Psychology, University of Kentucky College of Arts and Sciences, 171 Funkhouser Drive, Lexington, KY, United States, Department of Behavioral Science, University of Kentucky College of Medicine, 1100 Veterans Drive, Medical Behavioral Science Building Room 140, Lexington, KY, United States, Department of Psychiatry, University of Kentucky College of Medicine, 3470 Blazer Parkway, Lexington, KY, United States","Few studies have simultaneously evaluated delay discounting and behavioral economic demand to determine their unique contribution to drug use. A recent study in cannabis users found that monetary delay discounting uniquely predicted cannabis dependence symptoms, whereas cannabis demand uniquely predicted use frequency. This study sought to replicate and extend this research by evaluating delay discounting and behavioral economic demand measures for multiple commodities and including a use quantity measure. Amazon.com's Mechanical Turk was used to sample individuals reporting recent cannabis use (n = 64) and controls (n = 72). Participants completed measures of monetary delay discounting as well as alcohol and cannabis delay discounting and demand. Cannabis users and controls did not differ on monetary delay discounting or alcohol delay discounting and demand. Among cannabis users, regression analyses indicated that cannabis delay discounting uniquely predicted use severity, whereas cannabis demand uniquely predicted use frequency and quantity. These effects remained significant after controlling for other delay discounting and demand measures. This research replicates previous outcomes relating delay discounting and demand with cannabis use and extends them by accounting for the contribution of multiple commodities. This research also demonstrates the ability of online crowdsourcing methods to complement traditional human laboratory techniques. © 2017 Elsevier B.V.","Behavioral economics; Crowdsourcing; Demand curve; Drug; Substance use",Article,Scopus,2-s2.0-85017393306
"Lucas R.E., Donnellan M.B.","Enhancing transparency and openness at the Journal of Research in Personality",2017,"Journal of Research in Personality","68",,,"1","4",,,10.1016/j.jrp.2017.03.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015679129&doi=10.1016%2fj.jrp.2017.03.002&partnerID=40&md5=0109b63364f0fc530e80153c6a088210","Department of Psychology, Michigan State University, United States; Department of Psychology, Texas A&M University, United States","Lucas, R.E., Department of Psychology, Michigan State University, United States; Donnellan, M.B., Department of Psychology, Texas A&M University, United States",[No abstract available],,Editorial,Scopus,2-s2.0-85015679129
"Marwick B.","Computational Reproducibility in Archaeological Research: Basic Principles and a Case Study of Their Implementation",2017,"Journal of Archaeological Method and Theory","24","2",,"424","450",,1,10.1007/s10816-015-9272-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953396823&doi=10.1007%2fs10816-015-9272-9&partnerID=40&md5=5720addf1a758b087fa44bb31944a489","Department of Anthropology, University of Washington, Seattle, WA, United States; Center for Archaeological Science, University of Wollongong, Wollongong, Australia","Marwick, B., Department of Anthropology, University of Washington, Seattle, WA, United States, Center for Archaeological Science, University of Wollongong, Wollongong, Australia","The use of computers and complex software is pervasive in archaeology, yet their role in the analytical pipeline is rarely exposed for other researchers to inspect or reuse. This limits the progress of archaeology because researchers cannot easily reproduce each other’s work to verify or extend it. Four general principles of reproducible research that have emerged in other fields are presented. An archaeological case study is described that shows how each principle can be implemented using freely available software. The costs and benefits of implementing reproducible research are assessed. The primary benefit, of sharing data in particular, is increased impact via an increased number of citations. The primary cost is the additional time required to enhance reproducibility, although the exact amount is difficult to quantify. © 2016, Springer Science+Business Media New York.","Australian archaeology; Computer programming; Open science; Reproducible research; Software engineering",Article,Scopus,2-s2.0-84953396823
"Lawrence J.S., Smith J.L.","Academically contingent self-worth and vulnerability: When approach self-validation goals are more threatening than avoidance self-validation goals",2017,"Self and Identity","16","3",,"353","372",,,10.1080/15298868.2017.1292183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012875089&doi=10.1080%2f15298868.2017.1292183&partnerID=40&md5=9406907df1023d46f41727d1d8f2c90c","Department of Psychology, University of Massachusetts Lowell, 113 Wilder St., Lowell, MA, United States; Department of Psychology, Montana State University, Bozeman, MT, United States","Lawrence, J.S., Department of Psychology, University of Massachusetts Lowell, 113 Wilder St., Lowell, MA, United States; Smith, J.L., Department of Psychology, Montana State University, Bozeman, MT, United States","When are people who base their self-worth on academic competence vulnerable to negative outcomes such as anxiety and underperformance? One answer, according to decades of achievement goal research, seems obvious: when they aim to avoid demonstrating inability (called avoidance self-validation goals). Less clear is whether such vulnerability also exists when aiming to demonstrate ability (approach self-validation goals). Surprisingly, two studies found no evidence of vulnerability among participants who base self-worth on academics when avoidance self-validation goals were salient. Instead, it was when approach self-validation goals were salient that participants’ academically contingent self-worth most reliably predicted vulnerability. These results suggest that, within domains of contingency, people worry more about self-enhancement afforded by approach self-validation goals than about self-protection afforded by avoidance self-validation goals. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","achievement motivation; anxiety; approach goals; avoidance goals; Contingencies of self-worth; math performance; self-validation goals",Article,Scopus,2-s2.0-85012875089
"van de Schoot R., Sijbrandij M., Winter S.D., Depaoli S., Vermunt J.K.","The GRoLTS-Checklist: Guidelines for Reporting on Latent Trajectory Studies",2017,"Structural Equation Modeling","24","3",,"451","467",,,10.1080/10705511.2016.1247646,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994904751&doi=10.1080%2f10705511.2016.1247646&partnerID=40&md5=53202b1a8d15621cb555d2530b667c3c","Utrecht University, Netherlands; North-West University, South Africa; Vrije University Amsterdam, Netherlands; EMGO Institute for Health and Care Research, Netherlands; University of California, Merced, United States; Tilburg University, Netherlands","van de Schoot, R., Utrecht University, Netherlands, North-West University, South Africa; Sijbrandij, M., Vrije University Amsterdam, Netherlands, EMGO Institute for Health and Care Research, Netherlands; Winter, S.D., Utrecht University, Netherlands; Depaoli, S., University of California, Merced, United States; Vermunt, J.K., Tilburg University, Netherlands","Estimating models within the mixture model framework, like latent growth mixture modeling (LGMM) or latent class growth analysis (LCGA), involves making various decisions throughout the estimation process. This has led to a wide variety in how results of latent trajectory analysis are reported. To overcome this issue, using a 4-round Delphi study, we developed Guidelines for Reporting on Latent Trajectory Studies (GRoLTS). The purpose of GRoLTS is to present criteria that should be included when reporting the results of latent trajectory analysis across research fields. We have gone through a systematic process to identify key components that, according to a panel of experts, are necessary when reporting results for trajectory studies. We applied GRoLTS to 38 papers where LGMM or LCGA was used to study trajectories of posttraumatic stress after a traumatic event. © 2017, Published with license by Taylor & Francis. © 2017 Rens van de Schoot, Marit Sijbrandij, Sonja D. Winter, Sarah Depaoli, and Jeroen K. Vermunt.","latent classes; LCGA; LGMM; mixture modeling; SEM",Article,Scopus,2-s2.0-84994904751
"Bostrom N.","Strategic Implications of Openness in AI Development",2017,"Global Policy","8","2",,"135","148",,,10.1111/1758-5899.12403,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012935492&doi=10.1111%2f1758-5899.12403&partnerID=40&md5=7253a3eba896cf278536cc7a8e8e04e5","Future of Humanity Institute, University of Oxford, Oxford, United Kingdom","Bostrom, N., Future of Humanity Institute, University of Oxford, Oxford, United Kingdom","This paper attempts a preliminary analysis of the global desirability of different forms of openness in AI development (including openness about source code, science, data, safety techniques, capabilities, and goals). Short-term impacts of increased openness appear mostly socially beneficial in expectation. The strategic implications of medium and long-term impacts are complex. The evaluation of long-term impacts, in particular, may depend on whether the objective is to benefit the present generation or to promote a time-neutral aggregate of well-being of future generations. Some forms of openness are plausibly positive on both counts (openness about safety measures, openness about goals). Others (openness about source code, science, and possibly capability) could lead to a tightening of the competitive situation around the time of the introduction of advanced AI, increasing the probability that winning the AI race is incompatible with using any safety method that incurs a delay or limits performance. We identify several key factors that must be taken into account by any well-founded opinion on the matter. © 2017 The Authors Global Policy published by Durham University and John Wiley & Sons, Ltd",,Article,Scopus,2-s2.0-85012935492
"Giofrè D., Cumming G., Fresc L., Boedker I., Tressoldi P.","The influence of journal submission guidelines on authors' reporting of statistics and use of open research practices",2017,"PLoS ONE","12","4", e0175583,"","",,,10.1371/journal.pone.0175583,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017533169&doi=10.1371%2fjournal.pone.0175583&partnerID=40&md5=b15131fd0ff817060f3ce0f51a0ba25b","School of Natural Sciences and Psychology, Liverpool John Moores University, Liverpool, United Kingdom; School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Department of General Psychology, University of Padova, Padova, Italy; Institute of Psychology, Health and Society, University of Liverpool, Liverpool, United Kingdom","Giofrè, D., School of Natural Sciences and Psychology, Liverpool John Moores University, Liverpool, United Kingdom; Cumming, G., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Fresc, L., Department of General Psychology, University of Padova, Padova, Italy; Boedker, I., Institute of Psychology, Health and Society, University of Liverpool, Liverpool, United Kingdom; Tressoldi, P., Department of General Psychology, University of Padova, Padova, Italy","From January 2014, Psychological Science introduced new submission guidelines that encouraged the use of effect sizes, estimation, and meta-analysis (the ""new statistics""), required extra detail of methods, and offered badges for use of open science practices. We investigated the use of these practices in empirical articles published by Psychological Science and, for comparison, by the Journal of Experimental Psychology: General, during the period of January 2013 to December 2015. The use of null hypothesis significance testing (NHST) was extremely high at all times and in both journals. In Psychological Science, the use of confidence intervals increased markedly overall, from 28% of articles in 2013 to 70% in 2015, as did the availability of open data (3 to 39%) and open materials (7 to 31%). The other journal showed smaller or much smaller changes. Our findings suggest that journalspecific submission guidelines may encourage desirable changes in authors' practices. © 2017 Giofrè et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Scopus,2-s2.0-85017533169
"Héroux M.E., Loo C.K., Taylor J.L., Gandevia S.C.","Questionable science and reproducibility in electrical brain stimulation research",2017,"PLoS ONE","12","4", e0175635,"","",,,10.1371/journal.pone.0175635,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018289133&doi=10.1371%2fjournal.pone.0175635&partnerID=40&md5=259ba6532a49e70104ef9d1d668f846e","Neuroscience Research Australia, Randwick, NSW, Australia; School of Medical Sciences, University of New South Wale, Sydney, NSW, Australia; School of Psychiatry, University of New South Wales, Sydney, NSW, Australia; Black Dog Institute, University of New South Wales, Sydney, NSW, Australia; Department of Psychiatry, St. George Hospital, Sydney, NSW, Australia; Prince of Wales Clinical School, University of New South Wales, Sydney, NSW, Australia","Héroux, M.E., Neuroscience Research Australia, Randwick, NSW, Australia, School of Medical Sciences, University of New South Wale, Sydney, NSW, Australia; Loo, C.K., School of Psychiatry, University of New South Wales, Sydney, NSW, Australia, Black Dog Institute, University of New South Wales, Sydney, NSW, Australia, Department of Psychiatry, St. George Hospital, Sydney, NSW, Australia; Taylor, J.L., Neuroscience Research Australia, Randwick, NSW, Australia, School of Medical Sciences, University of New South Wale, Sydney, NSW, Australia; Gandevia, S.C., Neuroscience Research Australia, Randwick, NSW, Australia, School of Medical Sciences, University of New South Wale, Sydney, NSW, Australia, Prince of Wales Clinical School, University of New South Wales, Sydney, NSW, Australia","Electrical brain stimulation (EBS) is a trendy new technique used to change brain function and treat neurological, psychiatric and psychological disorders. We were curious whether the published literature, which is dominated by positive results, reflects the experience of researchers using EBS. Specifically, we wanted to know whether researchers are able to reproduce published EBS effects and whether they engage in, but fail to report, questionable research practices. We invited 976 researchers to complete an online survey. We also audited 100 randomly-selected published EBS papers. A total of 154 researchers completed the survey. Survey respondents had a median of 3 [1 to 6, IQR] published EBS papers (1180 total) and 2 [1 to 3] unpublished ones (380 total). With anodal and cathodal EBS, the two most widely used techniques, 45-50% of researchers reported being able to routinely reproduce published results. When asked about how study sample size was determined, 69% of respondents reported using the sample size of published studies, while 61% had used power calculations, and 32% had based their decision on pilot data. In contrast, our audit found only 6 papers where power calculations were used and a single paper in which pilot data was used. When asked about questionable research practices, survey respondents were aware of other researchers who selectively reported study outcomes (41%) and experimental conditions (36%), adjusted statistical analysis to optimise results (43%), and engaged in other shady practices (20%). Fewer respondents admitted to engaging in these practices themselves, although 25% admitted to adjusting statistical analysis to optimize results. There was strong agreement that such practices should be reported in research papers; however, our audit found only two such admissions. The present survey confirms that questionable research practices and poor reproducibility are present in EBS studies. The belief that EBS is effective needs to be replaced by a more rigorous approach so that reproducible brain stimulation methods can be devised and applied. © 2017 Héroux et al.This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Scopus,2-s2.0-85018289133
"Bumstead M., Arnold B., Turak A.","Reproducing morphologies of disorderly self-assembling planar molecules with static and dynamic simulation methods by matching density",2017,"Physica A: Statistical Mechanics and its Applications","471",,,"301","314",,,10.1016/j.physa.2016.12.075,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007496746&doi=10.1016%2fj.physa.2016.12.075&partnerID=40&md5=170f13dab1156219850a95181bace884","McMaster University, Hamilton, Ontario, Canada; INTRON GmbH, Schwäbisch Hall, Germany","Bumstead, M., McMaster University, Hamilton, Ontario, Canada; Arnold, B., INTRON GmbH, Schwäbisch Hall, Germany; Turak, A., McMaster University, Hamilton, Ontario, Canada","Monte Carlo and molecular dynamics simulations are the two main numerical approaches to modeling molecular self-assembly and ordering. Conceptually, however, each method explores different paths through the thermodynamic landscape. Molecular dynamics depends on the position and momentum terms. Monte Carlo is a static set, and thus the momentum term is replaced with an energy term that is dependent on the volume and entropy. Until now, it was unclear if a stochastic process of densifying particles would have the same internal structure as morphologies produced from classical mechanics. This paper provides a systematic (i.e., statistical) analysis of the outcomes of 4032 simulations for hard-core circular objects as a function of the number of molecules and the boundary conditions. Structural classification of the resultant ensembles (averaged pair correlation function, bond-order parameter, translational order parameter, and Voronoi diagrams) shows that stochastic and dynamic approaches do not alter the morphology of the steric molecules. We conclude that when the probability density of covering area fractions are matched, the ensembles produced from the two methods will show the same level of structural disorder and positional patterns. The resultant morphology from both models, therefore, is not a product of dynamic unrest, but that of the relaxation of entropic frustration from macromolecular crowding. Although statistically the two methods produce similar configurations, nuances arise from the static and dynamic nature of modeling. As a result, Monte Carlo is slightly better suited to modeling systems when the desired morphology is represented by a metastable state; molecular dynamics on the other hand is more suited to finding defects that can arise in morphologies. Regardless, a fixed density will result in similar morphologies from both techniques, driven by similar configurational entropy. © 2016 Elsevier B.V.","Entropy driven self-assembly; Event driven molecular dynamics; Excluded volume; Monte Carlo; Morphology; Repeatability",Article,Scopus,2-s2.0-85007496746
"Buch E.R., Santarnecchi E., Antal A., Born J., Celnik P.A., Classen J., Gerloff C., Hallett M., Hummel F.C., Nitsche M.A., Pascual-Leone A., Paulus W.J., Reis J., Robertson E.M., Rothwell J.C., Sandrini M., Schambra H.M., Wassermann E.M., Ziemann U., Cohen L.G.","Effects of tDCS on motor learning and memory formation: A consensus and critical position paper",2017,"Clinical Neurophysiology","128","4",,"589","603",,,10.1016/j.clinph.2017.01.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013175443&doi=10.1016%2fj.clinph.2017.01.004&partnerID=40&md5=c50e8548c99f9f2218c2f98c061c0fc1","Human Cortical Physiology and Neurorehabilitation Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD, United States; Berenson-Allen Center for Non-Invasive Brain Stimulation, Division of Cognitive Neurology, Department of Neurology, Beth Israel Medical Center, Harvard Medical School, Boston, MA, United States; Department of Clinical Neurophysiology, University Medical Center, Georg-August University, Göttingen, Germany; Institute for Medical Psychology and Behavioral Neurobiology, University of Tübingen, Tübingen, Germany; Centre for Integrative Neuroscience, University of Tübingen, Tübingen, Germany; Department of Physical Medicine and Rehabilitation, Johns Hopkins Medical Institution, Baltimore, MD, United States; Department of Neuroscience, Johns Hopkins Medical Institution, Baltimore, MD, United States; Department of Neurology, University of Leipzig, Leipzig, Germany; Brain Imaging and NeuroStimulation (BINS) Laboratory, Department of Neurology University Medical Center Hamburg-Eppendorf MartinistrHamburg, Germany; Human Motor Control Section, National Institute of Neurological Disorders and Stroke, Bethesda, MD, United States; Department of Psychology and Neuroscience, Leibniz Research Center for Working Environment and Human Factors (IfADo), Dortmund, Germany; Department of Neurology, Albert Ludwigs University, Freiburg, Germany; Institute of Neuroscience and Psychology, University of Glasgow, Glasgow, United Kingdom; UCL Institute of Neurology, Queen Square, London, United Kingdom; Department of Psychology, University of Roehampton, London, United Kingdom; Department of Rehabilitation and Regenerative Medicine, Columbia University, New York, NY, United States; Behavioral Neurology Unit, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD, United States; Department of Neurology & Stroke, Hertie Institute for Clinical Brain Research, Eberhard Karls University, Tübingen, Germany","Buch, E.R., Human Cortical Physiology and Neurorehabilitation Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD, United States; Santarnecchi, E., Berenson-Allen Center for Non-Invasive Brain Stimulation, Division of Cognitive Neurology, Department of Neurology, Beth Israel Medical Center, Harvard Medical School, Boston, MA, United States; Antal, A., Department of Clinical Neurophysiology, University Medical Center, Georg-August University, Göttingen, Germany; Born, J., Institute for Medical Psychology and Behavioral Neurobiology, University of Tübingen, Tübingen, Germany, Centre for Integrative Neuroscience, University of Tübingen, Tübingen, Germany; Celnik, P.A., Department of Physical Medicine and Rehabilitation, Johns Hopkins Medical Institution, Baltimore, MD, United States, Department of Neuroscience, Johns Hopkins Medical Institution, Baltimore, MD, United States; Classen, J., Department of Neurology, University of Leipzig, Leipzig, Germany; Gerloff, C., Brain Imaging and NeuroStimulation (BINS) Laboratory, Department of Neurology University Medical Center Hamburg-Eppendorf MartinistrHamburg, Germany; Hallett, M., Human Motor Control Section, National Institute of Neurological Disorders and Stroke, Bethesda, MD, United States; Hummel, F.C., Brain Imaging and NeuroStimulation (BINS) Laboratory, Department of Neurology University Medical Center Hamburg-Eppendorf MartinistrHamburg, Germany; Nitsche, M.A., Department of Psychology and Neuroscience, Leibniz Research Center for Working Environment and Human Factors (IfADo), Dortmund, Germany; Pascual-Leone, A., Berenson-Allen Center for Non-Invasive Brain Stimulation, Division of Cognitive Neurology, Department of Neurology, Beth Israel Medical Center, Harvard Medical School, Boston, MA, United States; Paulus, W.J., Department of Clinical Neurophysiology, University Medical Center, Georg-August University, Göttingen, Germany; Reis, J., Department of Neurology, Albert Ludwigs University, Freiburg, Germany; Robertson, E.M., Institute of Neuroscience and Psychology, University of Glasgow, Glasgow, United Kingdom; Rothwell, J.C., UCL Institute of Neurology, Queen Square, London, United Kingdom; Sandrini, M., Department of Psychology, University of Roehampton, London, United Kingdom; Schambra, H.M., Department of Rehabilitation and Regenerative Medicine, Columbia University, New York, NY, United States; Wassermann, E.M., Behavioral Neurology Unit, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD, United States; Ziemann, U., Department of Neurology & Stroke, Hertie Institute for Clinical Brain Research, Eberhard Karls University, Tübingen, Germany; Cohen, L.G., Human Cortical Physiology and Neurorehabilitation Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD, United States","Motor skills are required for activities of daily living. Transcranial direct current stimulation (tDCS) applied in association with motor skill learning has been investigated as a tool for enhancing training effects in health and disease. Here, we review the published literature investigating whether tDCS can facilitate the acquisition, retention or adaptation of motor skills. Work in multiple laboratories is underway to develop a mechanistic understanding of tDCS effects on different forms of learning and to optimize stimulation protocols. Efforts are required to improve reproducibility and standardization. Overall, reproducibility remains to be fully tested, effect sizes with present techniques vary over a wide range, and the basis of observed inter-individual variability in tDCS effects is incompletely understood. It is recommended that future studies explicitly state in the Methods the exploratory (hypothesis-generating) or hypothesis-driven (confirmatory) nature of the experimental designs. General research practices could be improved with prospective pre-registration of hypothesis-based investigations, more emphasis on the detailed description of methods (including all pertinent details to enable future modeling of induced current and experimental replication), and use of post-publication open data repositories. A checklist is proposed for reporting tDCS investigations in a way that can improve efforts to assess reproducibility. © 2017","Effect-size; Guidelines; Learning; Memory; Motor; Non-invasive brain stimulation; Open Science; tDCS",Review,Scopus,2-s2.0-85013175443
